323092974            ÓÖ7090-0000         0100003Á/×                 ÇÀÙ.ÝÊÐÀÍÛ02ÏÐÎ×01171700100300318
223092974            ÓÖ7090-0000         ÓÖ7090-0000         0000000000000000000000000000028         
223092974            ÓÖ7090-0000         ÓÖ7090-0000/99      0010000000000000000000000009901         
223092974            ÓÖ7090-0000         ÓÖ7090-0000/100     0030000000000000000000000010013         
223092974            ÓÖ7090-0000         ÓÖ7090-0000/200     0030000000000000000000000020022         
223092974            ÓÖ7090-0000         ÓÖ7090-0000/300     0030000000000000000000000030026         
223092974            ÓÖ7090-0000         ÓÖ7090-0000/400     0030207020403150004500045040027         
223092974            ÓÖ7090-0000/100     ÓÖ7090-0000/100     0000000000000000000000000000013         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/114    0010213130500500005000050011404         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/115    0010207020500500003000016011504         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/101    0030201050104800035300002010102         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/102    0030201050103800007800002010203         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/104    0030201050103950010500002010405         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/106    0030213011400900002800000010607         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/107    0030401021203950000000000010708         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/108    0030215231620000000300000010809         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/116    0030215231620000000300000011609         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/109    0030213130100140003200000010910         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/103    0060201050100320003000002010304         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/105    0060213133500300003000000010506         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/112    0060201050100550005000002011212         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/111    0150213480400250001100000011111         
223092974            ÓÖ7090-0000/100     ÀÓÖ7090-0000/113    0240301020600070000400000011306         
223092974            ÓÖ7090-0000/200     ÓÖ7090-0000/200     0000000000000000000000000000022         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/201    0030201050105250052500002020114         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/206    0033061040503250026500008020619         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/207    0030213133104000001400000020720         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/202    0060201050103000004000002020215         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/203    0060201050103600004000002020316         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/204    0060201050103750003500002020417         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/205    0060201050103150003500002020518         
223092974            ÓÖ7090-0000/200     ÀÓÖ7090-0000/208    0400213480400350001100000020821         
223092974            ÓÖ7090-0000/300     ÓÖ7090-0000/300     0000000000000000000000000000026         
223092974            ÓÖ7090-0000/300     ÀÓÖ7090-0000/301    0030401091209000000000000030123         
223092974            ÓÖ7090-0000/300     ÀÓÖ7090-0000/302    0030213130100700004000000030224         
223092974            ÓÖ7090-0000/300     ÀÓÖ7090-0000/303    0030213130100500004000000030325         
999999999                                                                                            
123092974            01    011705010000300600000094914                                               
123092974            01    021705010000300600000094914                                               
123092974            01    031705400000300200000026226                                               
123092974            01    041703130000300500000085450                                               
123092974            01    051703030000300500000085450                                               
123092974            02    011703830000300100000015819                                               
123092974            02    021703830000300150000023729                                               
123092974            02    031703120000300300000051270                                               
123092974            02    041703830000300100000015819                                               
123092974            02    051703830000300400000068360                                               
123092974            02    061702360000300400000056668                                               
123092974            02    071703830000300200000031638                                               
123092974            02    081701070000300300000051270                                               
123092974            03    011703820000300050000007415                                               
123092974            03    021703100000300150000025635                                               
123092974            03    031703820000300030000004449                                               
123092974            03    041703820000300100000017090                                               
123092974            04    011703820000600050000007415                                               
123092974            04    021703100000600100000017090                                               
123092974            04    031703820000600100000017090                                               
123092974            04    041703230000200150000025635                                               
123092974            04    051703830000100050000008545                                               
123092974            04    061703120000200200000034180                                               
123092974            04    071703830000200100000017090                                               
123092974            05    011703820000300050000007415                                               
123092974            05    021703100000300200000034180                                               
123092974            05    031703820000300100000017090                                               
123092974            05    041703820000300300000051270                                               
123092974            06    011703020000600200000034180                                               
123092974            06    021701070000600400000075140                                               
123092974            06    031703830000600400000068360                                               
123092974            06    041702360000600200000028334                                               
123092974            06    051703830000600100000015819                                               
123092974            06    061703020002400200000034180                                               
123092974            06    071702500002400000000000000                                               
123092974            06    081703220002400100000017090                                               
123092974            07    011703030000300150000025635                                               
123092974            07    021703100000300150000025635                                               
123092974            07    031703820000300050000008545                                               
123092974            08    011703030000300200000034180                                               
123092974            08    021703830000300200000034180                                               
123092974            09    011703030000600100000017090                                               
123092974            09    021703030000100050000008545                                               
123092974            09    031703820000600100000017090                                               
123092974            09    041702500000600000000000000                                               
123092974            09    051703820000600050000007910                                               
123092974            10    011703020000300100000017090                                               
123092974            10    021703130000300150000025635                                               
123092974            10    031703830000300050000007910                                               
123092974            10    041701070000300150000025635                                               
123092974            10    051703830000300100000017090                                               
123092974            11    011703020001500400000068360                                               
123092974            11    021703130001500100000017090                                               
